Id;Precio;Activo;Stock;Codigo;Descripcion;TagID;MedidaID
;;;;7790045001607;Skarchitos;;
;;;;7798052363152;Nikitos Cereal de maiz;;
;;;;7794520441650;Krachitos Jamón Serrano;;
;;;;7794520868266;Krachitos Tradicional ;;
;;;;7798130951783;Crazy Pop;;
;;;;77958921;Bon o Bon ;;
;;;;7790580421007;Rocklets;;
;;;;7798044150555;Pipa Grande;;
;;;;7896624202493;Ring Pop;;
;;;;7790580200114;Mogul Tiburon;;
;;;;7790380029793;Flynn Paff Gomita;;
;;;;7792860011212;Chupetóncito;;
;;;;7790040131187;Vocación Clasicas;;
;;;;78931053;Kinder sorpresa nena;;
;;;;40084107;Kinder Sorpresa nene;;
;;;;77907509;Dos Corazones;;
;;;;77915481;Alf Pepitos!;;
;;;;7793640000754;Bayaspirina Forte tira;;
;;;;7793640000747;Bayaspirina Aspirina;;
;;;;7793640217985;Aspirineta;;
;;;;7793640000778;Cafiaspirina Plus;;
;;;;7793640000761;Cafiaspirina ;;
;;;;7798140250395;Tafirol Fuerte;;
;;;;7790375003128;Anaflex Plus;;
;;;;7793640215622;Actron ;;
;;;;7793640215486;Actron;;
;;;;7790375252168;Anaflex ;;
;;;;7796285278748;Alernix 24;;
;;;;7795312108799;Buscapina;;
;;;;7795345009711;Dorixina;;
;;;;7795345000367;Sertal Compuesto;;
;;;;7798032936659;Amoxilina;;
;;;;7790839980910;Omepraxol;;
;;;;7506309892801;Te Vick Forte;;
;;;;7794640131400;Uvasal;;
;;;;7794640170850;Alikal;;
;;;;4005900170996;Curitas;;
;;;;7796285286804;Geniol ;;
;;;;7791519200090;Prime Tachas;;
;;;;7791519200021;Prime Anatomico;;
;;;;7791519701030;Prime Mega;;
;;;;7791519200069;Prime Texturado;;
;;;;7790590000933;Caja chica Forforo;;
;;;;7791519703881;Cartas El Padrino ;;
;;;;7791519703874;Cartas El Padrino ;;
;;;;8690146134602;Gomitas Huevo;;
;;;;7798186030593;Gongys;;
;;;;7798178801699;Woopys;;
;;;;7793147571160;Imperial Apa;;
;;;;7798094223605;Smack;;
;;;;77969354;Chocolatin Negro;;
;;;;7790580116675;Misky Gomitas;;
;;;;77953124;Cofler Block;;
;;;;7790590000322;Ranchera Velas;;
;;;;7791293031965;Rexona Jabon Tocador;;
;;;;7791293030937;Sedal Co-Creations Accondicionador;;
;;;;7791293040844;Sedal Recarga Natural Shampoo;;
;;;;7791293030777;Sedal Co-Creations Shampoo;;
;;;;6001298008123;Ziploc Bolsas;;
;;;;7790380029809;Flynn Paff gomita;;
;;;;7790580116958;Mogul Dinos;;
;;;;7790310983850;Pep Palitos;;
;;;;77965233;Pipa chica;;
;;;;77956699;Trishot;;
;;;;7622300835620;Milka Torta Oreo;;
;;;;77903778;Milka Dulce De Leche;;
;;;;7622300457303;Milka Mouse Blanco;;
;;;;77903785;Milka Mouse;;
;;;;7790040316508;Aguila Minitorta Blanco;;
;;;;7790040298705;Aguila Minitorta Clásica ;;
;;;;77980281;Guaymallen Menbrillo;;
;;;;77976291;Tita;;
;;;;7791249020067;Cadbury Frutilla;;
